"aarskog syndrome","PMH0002619"
"stress incontinence","PMH0001893"
"striae","PMH0003771"
"stridor","PMH0003565"
"stroke","PMH0001740"
"strongyloidiasis","PMH0001654"
"sturge-weber syndrome","PMH0002399"
"stuttering","PMH0002400"
"subacute combined degeneration","PMH0001737"
"subacute sclerosing panencephalitis","PMH0002392"
"subacute thyroiditis","PMH0001413"
"subarachnoid hemorrhage","PMH0001720"
"subareolar abscess","PMH0002470"
"subconjunctival hemorrhage","PMH0002583"
"subcutaneous emphysema","PMH0003770"
"subdural effusion","PMH0002395"
"subdural hematoma","PMH0001732"
"sudden infant death syndrome","PMH0002533"
"suicide and suicidal behavior","PMH0002521"
"sunburn","PMH0003711"
"superficial thrombophlebitis","PMH0001248"
"supernumerary nipples","PMH0003597"
"supranuclear ophthalmoplegia","PMH0002591"
"sutures - ridged","PMH0003792"
"sutures - separated","PMH0003791"
"svc obstruction","PMH0002087"
"swallowing difficulty","PMH0034094"
"sweating","PMH0003702"
"sweating - absent","PMH0003703"
"swelling","PMH0003591"
"swimmer's ear","PMH0001647"
"swimming pool granuloma","PMH0002333"
"swollen lymph nodes","PMH0003586"
"sydenham chorea","PMH0002334"
"syphilitic aseptic meningitis","PMH0001738"
"syphilitic myelopathy","PMH0001742"
"syringomyelia","PMH0002373"
"systemic lupus erythematosus","PMH0001471"
"takayasu arteritis","PMH0002230"
"tapeworm - beef or pork","PMH0002366"
"tardive dyskinesia","PMH0001705"
"taste - impaired","PMH0003541"
"tay-sachs disease","PMH0002390"
"telangiectasia","PMH0003768"
"temporal arteritis","PMH0001484"
"tendinitis","PMH0002209"
"tenesmus","PMH0003618"
"tennis elbow","PMH0001485"
"tenosynovitis","PMH0002222"
"tension headache","PMH0001800"
"testicle lump","PMH0003648"
"testicle pain","PMH0003646"
"testicular cancer","PMH0002266"
"testicular failure","PMH0001432"
"testicular torsion","PMH0001545"
"tetanus","PMH0001640"
"tetralogy of fallot","PMH0002534"
"thalassemia","PMH0001613"
"thirst - absent","PMH0003575"
"thirst - excessive","PMH0003574"
"thoracic aortic aneurysm","PMH0002107"
"thoracic outlet syndrome","PMH0002406"
"thromboangiitis obliterans","PMH0001225"
"thrombocytopenia","PMH0001612"
"thrombocytopenia - drug induced","PMH0001582"
"thrombophlebitis","PMH0002098"
"thrombotic thrombocytopenic purpura","PMH0001579"
"thrush","PMH0001650"
"thyroid cancer","PMH0002193"
"thyroid cancer - papillary carcinoma","PMH0001372"
"thyroid nodule","PMH0004524"
"thyroid storm","PMH0001437"
"thyrotoxic periodic paralysis","PMH0001362"
"tibial nerve dysfunction","PMH0001796"
"tick paralysis","PMH0002335"
"tinea capitis","PMH0001881"
"tinea corporis","PMH0001880"
"tinea versicolor","PMH0002436"
"tinnitus","PMH0003534"
"tmj disorders","PMH0002207"
"tongue problems","PMH0003538"
"tongue tie","PMH0002606"
"tonsillitis","PMH0002038"
"tooth - abnormal colors","PMH0003556"
"tooth - abnormal shape","PMH0003555"
"tooth abscess","PMH0002055"
"tooth formation - delayed or absent","PMH0003552"
"toothaches","PMH0003558"
"torticollis","PMH0001757"
"total anomalous pulmonary venous return","PMH0002104"
"toxic megacolon","PMH0001294"
"toxic nodular goiter","PMH0001360"
"toxic shock syndrome","PMH0001676"
"toxic synovitis","PMH0001976"
"toxoplasmosis","PMH0001661"
"tracheal rupture","PMH0002083"
"tracheitis","PMH0001983"
"tracheomalacia - acquired","PMH0004563"
"tracheomalacia - congenital","PMH0002075"
"trachoma","PMH0002456"
"transfusion reaction - hemolytic","PMH0002280"
"transient familial hyperbilirubinemia","PMH0002176"
"transient ischemic attack","PMH0001743"
"transient tachypnea - newborn","PMH0004494"
"transient tic disorder","PMH0001755"
"transplant rejection","PMH0001818"
"transposition of the great vessels","PMH0002535"
"traumatic injury of the bladder and urethra","PMH0002058"
"treacher-collins syndrome","PMH0002624"
"tremor","PMH0003676"
"trench mouth","PMH0002039"
"trichinosis","PMH0001655"
"trichomoniasis","PMH0002307"
"trichorrhexis nodosa","PMH0002420"
"trichotillomania","PMH0002485"
"tricuspid atresia","PMH0002100"
"tricuspid regurgitation","PMH0001222"
"trigeminal neuralgia","PMH0001751"
"trisomy 13","PMH0002625"
"trisomy 18","PMH0002626"
"tropical sprue","PMH0001320"
"truncus arteriosus","PMH0002101"
"tuberous sclerosis","PMH0001791"
"tularemia","PMH0001859"
"tumor","PMH0002287"
"turner syndrome","PMH0001417"
"twin-to-twin transfusion syndrome","PMH0002562"
"type 1 diabetes","PMH0001350"
"type 2 diabetes","PMH0001356"
"typhoid fever","PMH0002308"
"typhus","PMH0002339"
"ulcerative colitis","PMH0001296"
"ulcers","PMH0003712"
"ulnar nerve dysfunction","PMH0001793"
"umbilical hernia","PMH0001982"
"undescended testicle","PMH0001968"
"unilateral hydronephrosis","PMH0001535"
"unstable angina","PMH0001250"
"upj obstruction","PMH0002247"
"ureterocele","PMH0001496"
"urethral stricture","PMH0002251"
"urethritis","PMH0001475"
"urge incontinence","PMH0002250"
"urinary incontinence","PMH0003629"
"urinary tract infection - adults","PMH0001549"
"urinary tract infection - children","PMH0001534"
"urination - difficulty with flow","PMH0003630"
"urination - excessive at night","PMH0003628"
"urination - excessive volume","PMH0003633"
"urination - painful","PMH0003632"
"urine - abnormal color","PMH0003626"
"urine - bloody","PMH0003625"
"urine odor","PMH0004553"
"urine output - decreased","PMH0003634"
"urticaria pigmentosa","PMH0002437"
"uterine fibroids","PMH0001912"
"uterine prolapse","PMH0002477"
"uveitis","PMH0002000"
"uvulitis","PMH0002237"
"vaginal bleeding","PMH0014910"
"vaginal bleeding between periods","PMH0003642"
"vaginal bleeding in pregnancy","PMH0003748"
"vaginal cysts","PMH0002478"
"vaginal discharge","PMH0003644"
"vaginal dryness","PMH0001894"
"vaginal itching","PMH0003645"
"vaginal tumors","PMH0002479"
"vaginal yeast infection","PMH0002480"
"vaginismus","PMH0002457"
"valley fever","PMH0002299"
"varicocele","PMH0002263"
"varicose veins","PMH0002099"
"vascular ring","PMH0004571"
"vasomotor rhinitis","PMH0002614"
"venous insufficiency","PMH0001252"
"ventricular fibrillation","PMH0004467"
"ventricular septal defect","PMH0002089"
"ventricular tachycardia","PMH0001239"
"vernal conjunctivitis","PMH0002365"
"vertebrobasilar circulatory disorders","PMH0002396"
"vertigo-associated disorders","PMH0002405"
"vesicles","PMH0004387"
"vipoma","PMH0001275"
"viral arthritis","PMH0001453"
"viral gastroenteritis","PMH0001298"
"viral pneumonia","PMH0001137"
"visceral larva migrans","PMH0001657"
"vision - night blindness","PMH0003530"
"vision problems","PMH0003520"
"vitiligo","PMH0001834"
"volkmann’s ischemic contracture","PMH0002201"
"volvulus - childhood","PMH0001980"
"vomiting blood","PMH0003605"
"von gierke disease","PMH0001378"
"von willebrand disease","PMH0001571"
"vulvovaginitis","PMH0001899"
"waardenburg syndrome","PMH0002401"
"walking abnormalities","PMH0003683"
"warts","PMH0001888"
"waterhouse-friderichsen syndrome","PMH0001634"
"watery eyes","PMH0003527"
"weakness","PMH0003660"
"webbing of the fingers or toes","PMH0003773"
"wegener’s granulomatosis","PMH0001192"
"weight gain - unintentional","PMH0003573"
"weight loss - unintentional","PMH0003595"
"wernicke-korsakoff syndrome","PMH0001776"
"west nile virus","PMH0004457"
"wheezing","PMH0003561"
"whipple’s disease","PMH0001258"
"whipworm infection","PMH0002340"
"whitehead","PMH0003721"
"widely spaced teeth","PMH0003554"
"williams syndrome","PMH0002105"
"wilms tumor","PMH0002542"
"wilson's disease","PMH0001789"
"wolff-parkinson-white syndrome","PMH0001206"
"wrinkles","PMH0003736"
"wrist pain","PMH0003661"
"xanthoma","PMH0002418"
"xeroderma pigmentosa","PMH0002438"
"xerosis","PMH0001838"
"yawning - excessive","PMH0003585"
"yaws","PMH0002317"
"yellow fever","PMH0002341"
"zollinger-ellison syndrome","PMH0001366"
